,model,score_test,accuracy,balanced_accuracy,mcc,f1,precision,recall,roc_auc,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.9047619047619048,0.9047619047619048,0.9,0.8227533512074423,0.8888888888888888,1.0,0.8,0.9727272727272727,0.7647058823529411,accuracy,0.02482318878173828,0.024513959884643555,1.9681448936462402,0.02482318878173828,0.024513959884643555,1.9681448936462402,1,True,3
1,ExtraTreesGini,0.9047619047619048,0.9047619047619048,0.9,0.8227533512074423,0.8888888888888888,1.0,0.8,0.9181818181818181,0.6470588235294118,accuracy,0.04092550277709961,0.02881598472595215,2.2924957275390625,0.04092550277709961,0.02881598472595215,2.2924957275390625,1,True,8
2,XGBoost,0.8095238095238095,0.8095238095238095,0.8045454545454545,0.6264144833056663,0.7777777777777778,0.875,0.7,0.9454545454545454,0.8235294117647058,accuracy,0.016386032104492188,0.009002208709716797,3.1647088527679443,0.016386032104492188,0.009002208709716797,3.1647088527679443,1,True,11
3,LightGBM,0.8095238095238095,0.8095238095238095,0.8090909090909091,0.6181818181818182,0.8,0.8,0.8,0.9272727272727274,0.7647058823529411,accuracy,0.028264760971069336,0.021025419235229492,1.8629837036132812,0.028264760971069336,0.021025419235229492,1.8629837036132812,1,True,4
4,ExtraTreesEntr,0.8095238095238095,0.8095238095238095,0.8090909090909091,0.6181818181818182,0.8,0.8,0.8,0.9272727272727272,0.5882352941176471,accuracy,0.038019657135009766,0.029664993286132812,2.0447943210601807,0.038019657135009766,0.029664993286132812,2.0447943210601807,1,True,9
5,RandomForestEntr,0.8095238095238095,0.8095238095238095,0.8090909090909091,0.6181818181818182,0.8,0.8,0.8,0.9136363636363637,0.6470588235294118,accuracy,0.04693436622619629,0.029473304748535156,2.2188313007354736,0.04693436622619629,0.029473304748535156,2.2188313007354736,1,True,6
6,RandomForestGini,0.8095238095238095,0.8095238095238095,0.8090909090909091,0.6181818181818182,0.8,0.8,0.8,0.9363636363636364,0.7058823529411765,accuracy,0.05389070510864258,0.029863834381103516,2.04207181930542,0.05389070510864258,0.029863834381103516,2.04207181930542,1,True,5
7,NeuralNetTorch,0.7619047619047619,0.7619047619047619,0.7636363636363637,0.5272727272727272,0.7619047619047619,0.7272727272727273,0.8,0.8545454545454545,0.7647058823529411,accuracy,0.9851968288421631,1.057335376739502,6.203611135482788,0.9851968288421631,1.057335376739502,6.203611135482788,1,True,12
8,NeuralNetFastAI,0.7142857142857143,0.7142857142857143,0.7181818181818183,0.4403855060505442,0.7272727272727273,0.6666666666666666,0.8,0.8,0.8823529411764706,accuracy,0.026019573211669922,0.01800394058227539,3.92836856842041,0.026019573211669922,0.01800394058227539,3.92836856842041,1,True,10
9,WeightedEnsemble_L2,0.7142857142857143,0.7142857142857143,0.7181818181818183,0.4403855060505442,0.7272727272727273,0.6666666666666666,0.8,0.8,0.8823529411764706,accuracy,0.028020143508911133,0.01800394058227539,4.042746305465698,0.002000570297241211,0.0,0.11437773704528809,2,True,14
10,LightGBMLarge,0.7142857142857143,0.7142857142857143,0.7136363636363636,0.42727272727272725,0.7,0.7,0.7,0.75,0.7058823529411765,accuracy,0.029472827911376953,0.0235598087310791,2.8788962364196777,0.029472827911376953,0.0235598087310791,2.8788962364196777,1,True,13
11,CatBoost,0.7142857142857143,0.7142857142857143,0.7090909090909091,0.4300756154038903,0.6666666666666666,0.75,0.6,0.809090909090909,0.7647058823529411,accuracy,0.42371487617492676,0.07337522506713867,31.086024522781372,0.42371487617492676,0.07337522506713867,31.086024522781372,1,True,7
12,KNeighborsUnif,0.6190476190476191,0.6190476190476191,0.6272727272727273,0.26967994498529685,0.6666666666666666,0.5714285714285714,0.8,0.7999999999999999,0.5882352941176471,accuracy,0.05417943000793457,0.2575547695159912,0.8019161224365234,0.05417943000793457,0.2575547695159912,0.8019161224365234,1,True,1
13,KNeighborsDist,0.6190476190476191,0.6190476190476191,0.6272727272727273,0.26967994498529685,0.6666666666666666,0.5714285714285714,0.8,0.8545454545454545,0.5882352941176471,accuracy,0.05569267272949219,0.03836202621459961,0.8129260540008545,0.05569267272949219,0.03836202621459961,0.8129260540008545,1,True,2
